,0
5,1628350.5
6,5601663.0
7,906042.75
8,657937.7
9,-518914.25
10,3135169.5
11,-162528.89
12,2532118.0
13,2501300.5
14,-829057.25
15,2192458.0
17,5419057.0
18,1497226.2
19,7681443.0
20,672241.8
21,3507446.0
22,3212941.8
23,1917740.8
24,6871369.0
25,44150.055
30,2019375.1
31,1375344.4
32,1376928.8
33,2000004.0
34,210717.58
35,709377.2
36,-959751.25
37,2357407.2
38,-423757.62
39,2509650.5
40,3373789.2
41,155560.8
42,424086.7
43,2101342.0
44,128572.46
45,1227327.9
46,886481.6
47,1537258.5
48,3642081.8
49,1539648.0
50,2768569.5
51,1702509.2
52,990880.8
53,688474.1
57,1668381.0
58,3060803.5
59,3547077.0
60,1153406.0
61,2273360.8
62,278372.28
63,241991.94
64,397111.75
65,1102412.0
66,652444.06
67,585758.4
68,647785.0
69,-882371.4
70,-512832.97
71,756129.0
72,48127.96
73,378163.06
74,1921437.2
75,858866.4
76,613119.0
77,-1075707.0
78,-177612.02
79,1914828.1
80,4928261.0
81,306853.8
82,300206.16
87,3391757.2
88,1158643.5
89,1856820.8
90,654281.5
91,522285.9
92,58364.96
93,1994498.6
94,550302.1
95,104858.55
96,1547254.8
97,137344.16
98,675857.1
99,313677.7
100,54439.207
101,2232080.0
102,653718.6
103,370863.12
104,685538.1
105,137255.81
106,741508.8
107,1001891.2
108,1268934.8
109,737770.0
110,-311254.8
111,902008.7
112,1780331.2
113,581969.1
114,-629962.7
115,530884.25
119,3981133.0
120,1890293.1
121,-217951.7
122,255070.72
124,-687336.7
125,1122701.0
126,1090010.5
127,1436351.8
128,1096707.5
130,1178228.9
131,412812.66
133,1566900.9
134,2309415.8
135,-50243.297
136,1466670.6
137,658544.06
138,1315738.5
139,1417878.0
140,122423.63
141,5551965.0
142,799573.9
143,3682579.0
144,1475221.4
145,-919046.75
149,978396.5
150,364385.7
151,394554.2
152,-142156.33
154,867697.4
155,385309.25
156,2176705.8
157,230172.6
158,5367044.5
159,751178.5
160,4278165.5
161,-75227.72
162,385205.88
163,1455850.1
164,96656.63
165,5189834.0
166,1565568.9
167,262778.84
168,282716.44
169,703771.25
171,579190.25
172,468318.25
173,973528.2
174,1010650.3
175,299964.97
180,2741765.5
181,727004.1
182,1976652.5
183,221295.77
184,86708.266
185,2996807.5
186,716418.75
187,272191.9
188,122677.48
189,1516557.5
190,572014.75
191,819701.44
192,3870795.0
193,1077028.2
194,-155312.78
195,362116.22
196,120187.586
198,1136540.8
199,2441183.8
200,630892.06
201,636190.75
202,788602.2
206,606643.5
207,1856793.0
208,651004.94
209,903172.5
210,4632145.5
211,-376007.28
212,250034.38
213,-677209.75
214,296086.66
215,-812518.0
216,-71993.64
217,309206.97
218,747859.0
219,203387.05
220,605775.0
221,694490.4
222,1685386.6
223,2619143.8
224,330710.62
225,1151197.0
226,2144799.5
227,14670.672
231,1584174.0
232,741736.6
233,1079872.8
234,508350.94
235,40144.992
237,791078.9
238,278251.03
239,76774.08
240,854866.4
241,1319517.1
242,2508711.8
243,1348863.2
244,644385.0
245,-1319414.4
246,134317.9
248,777943.4
249,572994.1
251,804870.2
252,954651.4
253,4197519.5
254,238053.86
260,634619.75
261,634468.75
262,-143376.9
263,425035.66
264,1051228.0
265,942918.5
266,545232.4
267,234333.89
268,1188305.2
269,447485.53
270,272431.8
271,296431.16
272,-29665.955
273,2784924.2
274,937136.5
275,917845.1
276,99465.79
277,4284226.0
278,259067.73
279,754731.06
280,403495.16
284,479074.1
285,58960.965
286,352596.06
287,-596369.9
288,-50075.812
289,1142752.5
290,264478.38
291,1030592.2
292,517472.38
294,109770.67
295,3893397.5
296,883342.56
297,423723.03
298,-424823.34
299,541525.4
300,596895.8
301,620165.25
302,397796.7
303,8641.336
304,189479.95
309,553476.1
310,156216.8
311,-257964.23
313,113185.78
314,211047.98
317,1833356.1
318,549968.6
319,116381.39
320,922474.9
321,530569.1
322,541359.56
323,366228.38
324,857593.56
325,-3463.3318
326,676033.4
327,-61819.94
329,180560.86
330,246959.8
332,1074691.2
333,941101.94
337,700548.1
338,587448.06
339,688323.2
341,-204865.7
342,222752.22
343,-15706.34
344,445197.16
345,-1203946.6
346,379440.5
347,592000.44
348,36819.477
349,19056.375
351,124575.39
352,2468016.0
353,306135.47
354,219752.95
355,1368475.0
356,142305.38
357,659458.94
358,-158561.95
359,504285.44
360,10456.018
363,1507537.8
364,216381.39
365,210610.86
366,-2043.9373
367,-198639.48
368,-121.866455
369,96643.164
370,92849.57
371,640274.25
372,161855.52
373,-546157.5
374,218437.17
376,525555.7
377,544894.0
378,2039494.2
379,186909.92
381,-59266.57
382,498127.7
384,134577.64
385,347555.16
389,365137.5
390,529066.8
391,134897.92
393,476586.38
394,159535.88
395,527314.1
396,312471.22
397,662748.9
398,157854.73
399,129290.32
400,-37413.496
401,802332.25
402,-74501.51
403,-637524.94
404,781703.9
405,102347.23
406,-23045.44
407,376862.16
408,304989.6
409,366981.56
410,364944.7
411,96812.54
412,397027.47
413,-153350.27
418,115814.875
419,313867.25
424,145594.88
426,101906.34
427,334350.28
428,30793.998
429,323.73694
430,-49807.586
431,-163988.38
432,242703.44
433,250580.61
436,-53607.39
437,398144.66
438,806322.5
440,68935.99
442,234383.02
443,-711614.94
444,48863.17
449,521562.44
450,377795.8
451,-1875307.9
453,-133652.81
456,44382.51
457,356229.34
458,260487.39
460,415552.16
461,123381.14
463,275467.34
464,166327.22
465,167861.31
466,86660.6
467,272457.8
468,-11091.895
471,214058.45
472,191057.62
473,857896.5
474,1248261.2
478,579990.5
480,502339.03
481,317690.1
482,432976.72
483,277876.06
484,374109.5
486,394374.75
489,762134.1
490,414482.7
492,268082.75
493,161648.39
494,73855.734
496,-62533.504
497,-252.78784
498,645026.5
500,283666.6
502,388124.06
503,207600.08
504,-1971169.4
506,209996.3
510,742361.0
511,668817.44
515,451228.28
516,-97638.12
518,-25930.873
519,860750.94
520,127784.24
521,260267.17
523,311207.28
524,113.38074
525,614905.6
526,984307.94
527,-6177.2896
528,555532.06
529,230716.7
530,85896.58
