,0
0,2500393.5
1,1297346.2
2,499794.2
3,97361.12
27,498217.4
28,104411.46
54,999357.2
55,299969.6
56,101161.83
84,3001577.5
85,197978.5
86,99901.05
116,494478.03
117,293450.56
146,997072.44
147,196311.78
148,201536.34
177,1202991.0
178,504301.22
203,999321.06
204,408156.78
205,107314.11
228,797011.25
229,100439.08
230,100948.25
256,1195671.5
257,401115.78
258,293091.44
259,103677.67
281,295481.12
282,297829.44
283,96038.91
305,347227.3
306,302899.0
307,150379.12
334,144969.97
335,153728.95
336,62141.297
361,449305.9
362,57587.883
386,198414.17
387,101346.5
388,63277.973
415,203562.23
416,46107.43
446,302505.75
448,55014.15
475,299532.0
507,701310.4
508,100156.734
509,84609.336
533,251167.08
534,46165.855
589,103210.0
615,101786.42
639,50289.168
716,48699.6
717,51827.766
740,124270.46
741,22491.959
767,52850.883
819,148916.05
845,98424.33
846,29254.676
870,48217.152
946,60647.113
947,48847.887
976,78078.36
1001,7000501.5
1002,5001769.0
1003,899564.7
1004,305639.0
1028,35000268.0
1029,1292547.9
1030,989135.8
1061,5998367.0
1062,2007780.2
1063,597444.75
1064,203195.69
1065,197415.72
1088,2505309.5
1089,1503913.1
1090,1500086.0
1091,255140.77
1115,8501570.0
1116,744650.4
1117,207343.86
1145,7001116.5
1146,501937.84
1147,400415.8
1172,7996331.5
1173,406479.0
1174,198192.38
1175,98808.375
1197,6997827.0
1198,1998406.5
1199,494472.7
1223,4501549.0
1224,313716.47
1225,311859.0
1226,253479.4
1254,3498606.8
1255,1005060.4
1256,251603.1
1281,1198245.4
1282,997961.5
1283,310160.97
1313,1496039.2
1314,1498915.5
1342,5006643.0
1343,997615.94
1344,208945.03
1369,5000110.0
1370,1495368.4
1371,96934.35
1372,33924.492
1403,4497300.5
1404,404131.1
1405,302728.0
1432,3003640.0
1433,498834.75
1434,298033.44
1435,209470.12
1436,149278.92
1458,898930.94
1459,396763.75
1460,241338.25
1461,45856.934
1490,1202429.2
1491,493908.34
1492,388838.6
1518,1199153.8
1519,394133.66
1521,147921.86
1548,997287.4
1549,199155.28
1550,179809.38
1577,651106.56
1578,598314.94
1579,186027.27
1610,697229.44
1611,197285.6
1612,148536.22
1637,803656.6
1638,210873.83
1639,200170.67
1640,41420.66
1669,701269.25
1670,282484.53
1671,124498.07
1697,599435.2
1699,101468.17
1724,598936.4
1725,200984.23
1726,117900.85
1752,601238.25
1753,245214.4
1754,85724.61
1779,800191.3
1780,200395.17
1781,195428.75
1809,701209.3
1810,398480.25
1811,212006.98
1812,102072.95
1835,397994.84
1836,251993.14
1837,61140.27
1864,600878.7
1865,596261.6
1866,222786.45
1867,105951.94
1894,599924.1
1895,191454.97
1896,171747.3
1924,792591.0
1925,398697.9
1926,192352.4
1927,145079.66
1952,501279.62
1953,208735.83
1954,88959.39
1986,503128.12
1987,296031.53
1988,96760.84
2016,503251.44
2017,213942.97
2018,211540.34
2019,39348.363
2045,130554.34
2046,49980.758
2074,201144.62
2075,27589.283
2104,346321.16
2105,246699.94
2106,173544.67
2135,323279.94
2136,128075.48
2137,71481.28
2162,299090.97
2163,93937.25
2190,248860.9
2191,175059.94
2192,145215.83
2193,23404.01
2217,301361.2
2218,96691.0
2244,258379.81
2245,206672.38
2246,74006.49
2274,248769.33
2275,200234.61
2276,12430.324
2301,298388.8
2302,150034.62
2303,48304.758
2329,300175.72
2330,131016.08
2331,27730.463
2357,495241.84
2358,151516.2
2359,92941.61
2385,249359.72
2386,197467.56
2387,49980.758
2410,396614.0
2411,177623.7
2412,27589.283
2439,198484.98
2440,99242.15
2441,47694.277
2466,270516.1
2467,75866.34
2495,249470.72
2496,199417.23
2497,102189.195
2498,49980.758
2524,154679.31
2525,100258.17
2526,77104.04
2558,129071.69
2559,77538.75
2560,48735.1
2585,176135.42
2586,127869.97
2588,27589.283
2614,4001120.5
2615,332233.3
2617,107336.984
2645,1502683.4
2646,395306.84
2647,256815.6
2648,243701.08
2674,1002755.56
2675,303141.38
2676,102883.33
2702,1495247.5
2703,349115.0
2704,111299.84
2733,992553.94
2734,198360.64
2763,403949.8
2764,382893.2
2765,85287.64
2788,402724.75
2789,353288.66
2790,193857.98
2817,705434.7
2818,142382.03
2847,399460.12
2848,208525.14
2872,302394.44
2873,243186.9
2874,100614.1
2875,11384.994
2905,699569.5
2906,397924.25
2907,251400.72
2908,25828.035
2937,398530.47
2938,303062.53
2939,28741.992
2940,35589.797
2964,125697.43
2966,71596.59
2997,298891.94
2998,74150.125
2999,17981.764
3024,295182.72
3025,87584.53
3052,201249.1
3053,124587.24
3083,162777.61
3084,151230.28
3085,21188.793
3110,227058.75
3138,252848.14
3139,173901.83
3140,50717.008
3141,23360.764
3167,151655.88
3168,68457.24
3169,23741.309
3194,202257.14
3195,181272.03
3196,73382.12
3222,196744.47
3223,93546.77
3224,21188.793
3245,208336.81
3246,69717.88
3275,47444.44
3276,28548.072
3296,297843.06
3297,145802.0
3298,20214.287
3325,45138.27
3345,199903.28
3346,124135.69
3347,30402.084
3379,247673.5
3381,24320.963
3400,49998230.0
3401,3994760.0
3402,401068.3
3403,140358.56
3426,9999951.0
3427,1196383.8
3453,4001306.0
3454,1501605.2
3455,301714.1
3456,173753.19
3481,13998810.0
3482,3999014.0
3483,409303.03
3503,2500046.2
3504,1999253.6
3505,155304.19
3530,8997391.0
3531,396436.2
3532,200109.84
3553,10001210.0
3554,1499659.1
3555,397907.34
3576,10001012.0
3578,307889.25
3579,188666.11
3606,19996520.0
3607,800667.2
3608,199805.27
3633,3998814.8
3634,1497641.9
3635,800587.75
3636,301656.84
3661,8000858.5
3662,203156.19
3687,4995471.0
3688,704878.44
3689,147998.77
3690,98023.336
3712,3502913.2
3713,600718.4
3714,300885.22
3715,165638.02
3738,1998217.1
3739,402146.22
3764,2001576.8
3765,1000276.44
3766,247373.16
3791,4002331.5
3792,500659.16
3793,207968.0
3817,2999312.8
3818,2503545.2
3820,125775.39
3848,3496804.0
3849,598740.6
3850,154164.28
3851,103831.09
3881,1500183.2
3882,588220.75
3883,141788.27
3906,601354.4
3907,305460.28
3908,201827.44
3936,2999302.5
3937,2993923.8
3938,300361.03
3939,198967.62
3964,1499863.2
3965,697086.44
3991,1501419.0
3992,249443.08
4019,1999100.4
4020,252459.92
4044,697338.44
4045,599028.75
4046,396578.6
4065,1499266.4
4066,252950.4
4092,301887.38
4093,194949.83
4094,51422.367
4116,791937.3
4117,287028.22
4118,48681.13
4144,795664.0
4145,400569.2
4146,59134.47
4173,603726.6
4175,98797.36
4199,1503474.1
4200,252647.72
4227,403727.4
4228,311314.9
4229,150170.47
4253,449269.4
4254,253859.7
4278,609411.94
4279,156571.8
4280,139560.69
4305,696596.2
4306,304955.6
4307,148567.94
4332,398981.3
4333,143149.61
4359,600225.7
4360,394405.56
4386,305764.7
4387,249666.52
4388,149837.31
4411,699451.06
4412,255064.44
4413,32559.973
4434,396605.94
4435,201836.48
4436,50305.336
4462,18002004.0
4463,4995770.5
4464,146854.27
4465,65972.09
4489,35002836.0
4490,598841.1
4491,345184.28
4492,299279.03
4519,19996380.0
4520,1000976.2
4521,296575.84
4546,12998462.0
4547,3997143.2
4548,303574.88
4574,13999118.0
4575,1500220.9
4576,102162.984
4600,5000332.5
4601,1798087.1
4602,153164.05
4627,12000707.0
4628,8000104.5
4629,157424.06
4653,1997915.8
4654,599572.06
4655,301794.2
4679,1502708.6
4680,498110.7
4681,101918.29
4705,3498965.0
4706,595280.7
4707,305620.47
4708,54196.04
4733,4999532.5
4734,310061.94
4735,54196.04
4760,3000245.2
4761,503254.53
4762,434448.34
4763,196590.44
4791,7006689.5
4792,3999975.0
4793,497719.97
4821,16003214.0
4822,697698.75
4823,199836.4
4824,205745.56
4851,1201226.8
4852,998506.0
4853,298006.6
4878,5000383.5
4879,201527.1
4880,202770.53
4881,54196.04
4909,4501505.5
4910,502949.97
4911,96547.94
4912,50256.633
4938,3999239.2
4939,201913.69
4940,53825.543
4967,6001400.5
4968,297891.47
4969,102082.734
4996,13000409.0
4997,245934.36
4998,211671.97
4999,101940.734
5022,1897416.5
5023,1500536.2
5024,111740.7
5025,59953.977
5053,996436.44
5054,596975.7
5055,302873.38
5056,146423.64
5057,54659.383
5083,3501949.0
5084,274212.88
5085,51674.88
5112,1198502.5
5113,239854.78
5114,200724.67
5115,95527.59
5139,598327.3
5140,288779.75
5141,99879.016
5142,54752.06
5167,349186.9
5168,303472.22
5169,94861.67
5193,2996856.5
5194,171251.8
5195,173851.9
5221,1192814.9
5222,252207.92
5249,3002377.2
5250,400274.22
5251,143875.3
5252,52354.24
5281,695045.94
5282,248176.25
5283,113744.64
5308,493824.66
5309,149710.1
5336,1005068.2
5337,127313.66
5367,1098869.2
5368,253169.33
5369,196687.94
5398,752078.7
5399,198141.17
5400,25808.072
5425,397907.72
5426,299580.78
5427,58915.723
5454,404059.22
5455,230729.03
5456,47042.81
5482,499557.62
5483,149415.14
