,0
0,
1,
2,
3,
4,
5,4218377.5
6,2698749.2
7,1731831.1
8,2424849.5
9,742952.1
10,1847426.6
11,979955.9
12,2873200.0
13,1698422.5
14,912164.3
15,1866700.5
16,1208569.1
17,6880258.5
18,863779.4
19,1287409.5
20,1821295.0
21,4552547.0
22,6714868.5
23,1892481.2
24,4077895.8
25,838317.7
26,1522487.9
27,
28,
29,
30,1646271.1
31,882827.56
32,1242295.1
33,863779.4
34,2173060.8
35,857365.9
36,2630905.0
37,3944513.5
38,1267445.6
39,1612682.8
40,4354056.5
41,921008.94
42,863779.4
43,4630731.5
44,863779.4
45,2482361.8
46,1910217.4
47,940057.25
48,5122544.5
49,1702383.0
50,1981347.8
51,3702333.5
52,2500178.5
53,912164.3
54,
55,
56,
57,3174838.2
58,5636153.0
59,929035.3
60,1280932.8
61,3550717.8
62,903631.4
63,937625.94
64,1353633.4
65,2368814.8
66,1273913.2
67,1271301.2
68,1729911.9
69,1999256.6
70,2295137.2
71,1569401.8
72,1731831.1
73,1892162.1
74,1704864.9
75,863779.4
76,2702398.2
77,1357911.1
78,1208569.1
79,3870022.8
80,3506758.2
81,809170.5
82,1353633.4
83,838317.7
84,
85,
86,
87,4881312.0
88,838317.7
89,1619028.0
90,937625.94
91,863779.4
92,2412286.0
93,1522487.9
94,838317.7
95,937625.94
96,857365.9
97,921008.94
98,1559505.1
99,863779.4
100,550361.3
101,1921733.9
102,921008.94
103,863779.4
104,1754405.1
105,838317.7
106,976027.2
107,1328530.9
108,3654674.2
109,863779.4
110,1208569.1
111,838317.7
112,2932268.2
113,838317.7
114,550361.3
115,976027.2
116,
117,
118,
119,3775815.2
120,1188040.5
121,723857.56
122,863779.4
123,2811248.5
124,1208569.1
125,2957643.2
126,2895802.0
127,1024412.2
128,900628.9
129,1208569.1
130,950565.5
131,1888877.9
132,1208569.1
133,1719385.2
134,2263251.0
135,838317.7
136,1797861.9
137,863779.4
138,1021947.75
139,1611599.5
140,863779.4
141,3540314.8
142,779838.2
143,863779.4
144,1588065.8
145,562740.2
146,
147,
148,
149,1698099.2
150,1208569.1
151,895547.25
152,732814.1
153,863779.4
154,958931.0
155,921008.94
156,4245248.0
157,1208569.1
158,1208569.1
159,1208569.1
160,2461838.0
161,2422524.0
162,937625.94
163,838317.7
164,818395.06
165,6382969.0
166,4252804.0
167,863779.4
168,909699.9
169,950565.5
170,921008.94
171,863779.4
172,1205161.5
173,1968757.4
174,721393.1
175,1885641.6
176,838317.7
177,
178,
179,
180,1271301.2
181,838317.7
182,1522487.9
183,686685.0
184,921008.94
185,1773058.4
186,863779.4
187,1248333.0
188,2138016.5
189,921008.94
190,921008.94
191,863779.4
192,1345148.1
193,4269212.0
194,1748295.6
195,863779.4
196,879651.6
197,838317.7
198,937625.94
199,4379759.5
200,912164.3
201,838317.7
202,1638139.9
203,
