,PredictedValueXGB
5,4571634.0
6,3321344.2
7,1483079.4
8,2721545.0
9,714079.25
10,1525470.9
11,1048149.4
12,2751773.2
13,1676769.2
14,830984.0
15,1582452.6
16,1293403.2
17,7373270.5
18,842445.2
19,1499318.9
20,1847000.0
21,5137786.5
22,7112140.0
23,2082968.6
24,4435471.0
25,802019.4
26,1410766.2
30,1892094.2
31,842445.2
32,1191059.6
33,833836.94
34,1831603.1
35,802019.4
36,2787553.2
37,4086379.0
38,1256454.6
39,1597840.5
40,4422856.5
41,921779.44
42,833836.94
43,1808645.0
44,4210554.0
45,833836.94
46,2622664.8
47,1683491.6
48,976202.75
49,5098523.0
50,1635253.2
51,3760072.2
52,2725688.8
53,830984.0
57,4103028.5
58,5272199.0
59,842445.2
60,1032566.1
61,4111210.0
62,896709.94
63,871409.8
64,1130839.5
65,2562325.8
66,1140488.8
67,1342583.9
68,1439731.0
69,1777280.1
70,2563058.2
71,1341360.8
72,1488345.4
73,1810040.2
74,1828700.6
75,842445.2
76,3511834.8
77,1240941.4
78,1316635.4
79,3769584.8
80,4128132.2
81,734746.1
82,1381345.5
83,793411.1
87,5377287.5
88,802019.4
89,1378333.5
90,866143.75
91,842445.2
92,2582551.2
93,1344102.9
94,802019.4
95,871409.8
96,802019.4
97,879570.75
98,1349368.9
99,837179.1
100,528286.2
101,1496351.5
102,879685.94
103,842445.2
104,1490175.5
105,802019.4
106,875806.8
107,1484949.4
108,3729639.0
109,842445.2
110,1293403.2
111,802019.4
112,2786735.0
113,802019.4
114,528286.2
115,875806.8
119,3868624.0
120,1030305.5
121,686872.8
122,842445.2
123,3225166.5
124,1293403.2
125,3740872.2
126,2741272.5
127,864345.6
128,864747.56
129,1293403.2
130,835381.0
131,2124762.0
132,1293403.2
133,1526526.2
134,1639514.9
135,793411.1
136,1488345.4
137,837179.1
138,859081.7
139,1453050.1
140,3709378.8
141,690556.4
142,867464.06
143,2119420.0
144,570256.06
148,1623131.6
149,1293403.2
150,844410.8
151,723227.44
152,842560.4
153,892467.3
154,921779.44
155,4160405.2
156,1293403.2
157,1293403.2
158,1288137.2
159,2770726.0
160,2775968.5
161,871409.8
162,802019.4
163,751320.0
164,4134552.8
165,4151669.2
166,842445.2
167,825720.06
168,835381.0
169,976202.75
170,842560.4
171,1065888.2
172,1890808.1
173,673653.44
174,1605927.0
175,793411.1
179,1342583.9
180,1230567.6
181,1410766.2
182,692354.5
183,879570.75
184,1801430.4
185,842445.2
186,1373364.2
187,2284091.5
188,879685.94
189,930387.7
190,837179.1
191,1581834.1
192,3657238.8
193,1660019.5
194,842445.2
195,833836.94
196,807285.44
197,871409.8
198,4067364.2
199,830984.0
200,802019.4
201,1439731.0
205,1071516.9
206,1447668.9
207,1293403.2
208,842445.2
209,1065649.9
210,842445.2
211,842445.2
212,710839.94
213,842445.2
214,1332656.8
215,802019.4
216,830984.0
217,896868.5
218,673653.44
219,908535.4
220,754682.3
221,837179.1
222,3097147.8
223,870540.75
224,1671400.0
225,2493289.2
226,1452934.9
227,1210480.4
231,2118470.8
232,842445.2
233,2047876.0
234,1028766.2
235,793411.1
236,528286.2
237,830984.0
238,1100948.8
239,863552.7
240,1001952.8
241,1694684.8
242,1483079.4
243,1010958.7
244,1084022.2
245,802019.4
246,871409.8
247,875806.8
248,1410881.5
249,1426025.2
250,830984.0
251,3620568.5
252,1522021.4
253,871409.8
254,1258243.4
259,842445.2
260,842445.2
261,673653.44
262,842445.2
263,1452934.9
264,1032566.1
265,871409.8
266,842445.2
267,1481899.5
268,3556173.5
269,842445.2
270,714256.5
271,1731069.0
272,3064580.5
273,1667764.9
274,978699.25
275,842445.2
276,2628476.5
277,842445.2
278,1885599.2
279,1067965.6
283,899604.5
284,561617.06
285,616092.9
286,700585.94
287,444774.66
288,531644.1
289,540252.4
290,958515.6
291,820804.0
292,1039028.6
293,540252.4
294,1390152.8
295,1160006.9
296,570225.3
297,652305.06
298,564959.25
299,540252.4
300,1033762.56
301,570225.3
302,1126610.4
303,768311.56
308,1659034.9
309,782731.1
310,817979.44
311,540252.4
312,582731.25
313,585231.7
314,784527.25
315,2048522.5
316,552758.3
317,540252.4
318,3652703.0
319,799637.8
320,1093451.9
321,1093451.9
322,944634.0
323,570225.3
324,664968.4
325,582731.25
326,956140.75
327,547494.4
328,597737.6
329,540252.4
330,659819.6
331,570225.3
335,582731.25
336,545518.44
337,573614.0
338,540252.4
339,556351.0
340,1031225.2
341,1039028.6
342,2916255.8
343,632705.44
344,577465.2
345,573614.0
346,414801.78
347,522234.97
348,531644.1
349,561617.06
350,573614.0
351,552758.3
352,777496.1
353,570225.3
354,1004279.9
355,573614.0
356,980744.2
357,573614.0
358,540252.4
361,1773919.1
362,782731.1
363,872445.7
364,818406.44
365,574123.0
366,789973.1
367,570225.3
368,574123.0
369,2861832.5
370,768409.8
371,785972.7
372,570225.3
373,531644.1
374,540252.4
375,585231.7
376,885786.9
377,1033762.56
378,1077429.8
379,557737.4
380,540252.4
381,564959.25
382,585231.7
383,1131852.9
387,570225.3
388,540252.4
389,570225.3
390,664968.4
391,1206423.4
392,540252.4
393,597737.6
394,573614.0
395,585231.7
396,797737.4
397,3720286.5
398,1039028.6
399,3196697.0
400,414801.78
401,1395727.9
402,570225.3
403,570225.3
404,540252.4
405,559447.8
406,552207.94
407,768409.8
408,552758.3
409,540252.4
410,540252.4
411,451501.06
416,540252.4
417,540252.4
418,540252.4
419,540252.4
420,531644.1
422,544848.9
423,561617.06
424,570225.3
425,484276.03
426,570225.3
427,444774.66
428,761071.7
429,540252.4
430,570225.3
431,570225.3
432,536240.6
434,885786.9
435,469154.6
436,1773437.4
437,540252.4
438,570225.3
439,777465.06
440,540252.4
441,684101.75
442,1131852.9
443,528286.2
447,1560804.5
448,777465.06
449,570225.3
450,1067526.6
451,564713.9
452,582731.25
453,577467.3
454,522234.97
455,919148.5
456,561617.06
458,540252.4
459,570225.3
460,540252.4
461,815537.94
462,774122.9
463,531644.1
464,615183.75
465,782731.1
466,797737.4
467,540252.4
468,544627.2
469,570225.3
470,561732.2
471,1074785.4
472,684500.06
476,540252.4
477,552758.3
478,564959.25
479,705257.25
480,570225.3
481,570225.3
482,598320.9
483,833309.94
484,460669.75
485,531644.1
486,552758.3
487,627560.2
488,885362.4
489,528286.2
490,484276.03
491,782731.1
492,872215.5
493,561617.06
494,570225.3
495,1276947.4
496,544848.9
497,528286.2
498,570225.3
499,561732.2
500,573614.0
501,947417.7
502,630645.7
503,564959.25
504,570225.3
508,570225.3
509,544627.2
510,761071.7
512,540252.4
513,540252.4
514,528286.2
515,444774.66
516,582731.25
517,820804.0
518,570225.3
519,782731.1
520,1002403.6
521,564713.9
522,544627.2
523,577582.44
524,627560.2
525,540252.4
526,573614.0
527,570340.44
528,1077429.8
529,414801.78
530,711049.56
534,540252.4
535,691190.4
536,761071.7
537,540252.4
538,598075.5
539,439181.66
540,564959.25
541,508950.9
542,552758.3
543,552758.3
544,540252.4
545,585231.7
546,531644.1
547,570225.3
548,482273.5
549,536240.6
550,552758.3
551,1260846.6
552,536894.44
553,561732.2
554,439508.6
555,1093451.9
556,573614.0
557,723798.9
558,564959.25
559,573614.0
563,451869.88
564,1046123.7
565,848287.94
566,528286.2
568,843021.9
569,568712.25
570,573087.06
571,536894.44
572,607113.44
573,568712.25
574,528286.2
576,575952.1
577,528286.2
579,568712.25
580,561647.8
581,1220018.0
582,1138948.0
583,528286.2
584,528286.2
585,528286.2
589,577320.5
590,570256.06
591,577320.5
592,528286.2
593,418170.25
594,531383.0
595,589826.44
596,469185.34
597,536894.44
598,610682.1
599,589826.44
600,411443.84
601,549400.4
602,536894.44
603,536894.44
604,536894.44
605,549400.4
606,572054.44
607,536894.44
608,536894.44
609,570256.06
610,528286.2
611,528286.2
612,570256.06
615,570256.06
616,458596.28
617,916628.44
618,549400.4
619,577320.5
620,610682.1
621,549400.4
622,536894.44
623,536894.44
624,536894.44
625,582762.0
626,570256.06
627,536894.44
628,536894.44
629,528286.2
630,577320.5
631,748845.8
632,536894.44
633,610682.1
634,536894.44
638,577320.5
639,528286.2
640,422766.8
641,964749.0
642,549400.4
643,536894.44
644,672063.5
645,549400.4
646,891061.5
647,568827.4
648,536894.44
649,570256.06
650,589826.44
651,592442.0
652,536894.44
653,549400.4
654,536894.44
655,536894.44
656,1435518.5
657,577435.6
658,577320.5
659,541491.0
660,509204.47
663,581218.2
665,581218.2
666,528286.2
667,568712.25
668,607113.44
670,528286.2
672,577320.5
673,596224.5
674,783291.2
675,568712.25
676,607113.44
677,540792.1
678,568712.25
680,540792.1
682,568712.25
684,528286.2
689,453330.2
692,568712.25
693,528286.2
694,535528.2
695,528286.2
696,549400.4
697,528286.2
698,563446.2
699,568712.25
700,916628.44
701,549400.4
702,568712.25
704,549400.4
705,563446.2
706,1084524.8
707,657628.75
708,607113.44
711,1489239.9
712,536894.44
716,577320.5
717,476249.78
718,528286.2
719,528286.2
720,536894.44
721,536894.44
722,577320.5
723,568712.25
724,528286.2
725,411443.84
726,528286.2
727,536894.44
728,528286.2
729,878555.56
730,536894.44
731,568712.25
732,536894.44
733,541491.0
734,572054.44
735,536894.44
736,1009137.25
740,536894.44
741,528286.2
742,549400.4
743,775480.9
744,540792.1
745,577320.5
746,549400.4
747,549400.4
748,528286.2
