,PredictedValueSimpleModel
0,2324271.0
1,772967.6
2,447714.97
3,380701.53
4,60330.75
27,365625.9
28,438004.4
29,265167.72
54,545513.1
55,382700.06
56,196737.86
84,2512846.8
85,410809.7
86,17110.459
116,809818.9
117,884402.6
118,250295.06
145,786325.56
146,551404.0
147,563201.5
176,887488.7
177,809236.94
178,139405.42
202,1108708.1
203,469909.6
204,249691.25
228,961043.3
229,73998.59
230,284290.88
255,197006.06
256,408394.97
257,145652.61
258,321439.25
280,330241.22
281,293242.16
282,119825.55
304,268253.56
305,260952.12
306,345266.7
307,69121.7
332,241158.45
333,152155.1
334,69121.7
359,211417.36
360,348380.16
384,653306.7
385,536462.4
386,-8716.583
412,76018.47
413,272709.3
414,95883.516
415,-15613.347
444,248556.61
445,-8716.583
446,89736.09
473,221192.36
474,69121.7
475,39283.875
505,402982.16
506,95883.516
507,81678.89
531,289095.47
532,220216.5
533,126722.31
561,254643.47
562,-30306.273
586,138602.92
587,47532.03
588,47532.03
613,226966.94
614,54428.78
635,60193.324
636,-3079.0732
637,99556.53
661,-30306.273
662,-25970.31
686,-37203.04
687,-30306.273
688,-44601.195
713,138602.92
714,315856.4
715,105132.625
737,48945.434
738,38100.953
739,47532.03
764,437458.88
765,370791.16
789,-37203.04
790,-25970.31
816,17442.562
817,241192.92
818,301223.1
842,47532.03
843,124904.96
868,214628.02
869,245006.11
891,-2820.124
892,195149.27
893,-30306.273
915,90837.7
943,47532.03
944,209793.58
945,130565.4
972,186820.83
973,40133.875
998,6878965.0
999,4914213.5
1000,1029933.5
1001,214174.47
1025,33344516.0
1026,663443.06
1027,857876.75
1028,1058382.8
1058,5346516.5
1059,917198.1
1060,767345.44
1061,283097.53
1062,504417.9
1085,2793003.8
1086,2610972.8
1087,1418157.0
1088,529950.8
1112,7593547.0
1113,456843.06
1114,400682.03
1115,264878.72
1142,6567463.0
1143,511105.2
1144,785087.44
1169,7735258.5
1170,273056.62
1171,425272.8
1172,842077.5
1194,7033156.5
1195,1500245.0
1196,545354.44
1220,4220449.5
1221,348936.5
1222,1299585.6
1223,678314.9
1251,3827264.8
1252,962846.0
1253,831076.75
1278,1309187.5
1279,1528099.2
1280,530304.2
1281,342935.47
1310,892442.0
1311,1370763.2
1312,292012.97
1339,3190613.2
1340,1850816.9
1341,292012.97
1366,2015895.1
1367,1205514.0
1368,54553.14
1369,390799.4
1401,2570320.0
1402,616653.8
1403,99792.28
1429,3441640.5
1430,952304.7
1431,425559.53
1432,318919.34
1433,11140.278
1455,903651.7
1456,751376.9
1457,298909.72
1458,297962.06
1487,1380947.5
1488,482689.28
1489,361706.22
1490,308630.94
1515,1259916.5
1516,261567.92
1517,84642.59
1518,112863.26
1545,278962.94
1546,92224.375
1547,77244.44
1575,579727.9
1576,305707.2
1577,309476.03
1578,91539.36
1608,346997.34
1609,263937.62
1610,199714.03
1635,1520094.4
1636,199324.17
1637,187564.58
1638,199714.03
1667,634635.9
1668,230920.6
1669,218379.88
1696,550107.4
1697,252162.25
1698,346402.72
1699,6804.3096
1723,592188.8
1724,368911.16
1725,97637.914
1751,976333.6
1752,213156.22
1753,179476.81
1778,487150.47
1779,243610.03
1780,292065.84
1808,680918.9
1809,346342.97
1810,337593.1
1811,77244.44
1834,218523.14
1835,153630.83
1836,84642.59
1863,179476.81
1864,717212.94
1865,100091.69
1866,237928.94
1893,466161.12
1894,375381.72
1895,195612.44
1896,49397.57
1923,343340.84
1924,306609.75
1925,265743.38
1926,230920.6
1951,375381.72
1952,289148.53
1953,-92.45355
1954,-33732.207
1985,369228.88
1986,546356.56
1987,6804.3096
2015,135677.7
2016,139829.08
2017,257399.11
2018,77244.44
2044,211311.28
2045,42102.797
2073,146902.28
2074,-14785.38
2103,185034.16
2104,239978.22
2105,227680.8
2134,340313.16
2135,362479.06
2136,75610.09
2160,413536.22
2161,69949.67
2188,459074.62
2189,115077.43
2190,-239838.16
2191,-21682.14
2215,131218.02
2216,7381.2236
2242,69949.67
2243,19338.586
2244,108591.445
2272,185021.12
2273,189535.31
2274,63052.914
2299,304589.62
2300,52855.79
2301,87230.51
2327,354045.38
2328,451468.2
