,LeagueCountry,NationalLeagueLevel,InternationalTeam,League,Club,Age,ClubSince,ActiveInternational,FormerInternational,InternationalGames,Trending,Value
0,Schweiz,1.Liga,Schweiz,Super League,BSC Young Boys,28.0,3607.0,0,0,0.0,0,2500000.0
1,Schweiz,1.Liga,Schweiz U21,Super League,BSC Young Boys,24.0,492.0,0,1,13.0,0,1300000.0
2,Schweiz,1.Liga,Schweiz U21,Super League,BSC Young Boys,20.0,93.0,1,0,2.0,1,500000.0
3,Schweiz,1.Liga,Schweiz U21,Super League,BSC Young Boys,26.0,313.0,0,1,0.0,0,100000.0
4,Schweiz,1.Liga,Schweiz U15,Super League,BSC Young Boys,20.0,685.0,0,1,1.0,1,100000.0
27,Schweiz,1.Liga,Schweiz,Super League,FC Basel,35.0,320.0,0,1,2.0,0,500000.0
28,Schweiz,1.Liga,Schweiz U21,Super League,FC Basel,29.0,320.0,0,1,1.0,0,100000.0
29,Schweiz,1.Liga,Schweiz U21,Super League,FC Basel,22.0,320.0,0,1,0.0,0,100000.0
54,Schweiz,1.Liga,Schweiz U21,Super League,FC Zürich,29.0,4338.0,0,1,3.0,0,1000000.0
55,Schweiz,1.Liga,Schweiz U20,Super League,FC Zürich,31.0,1017.0,0,1,0.0,0,300000.0
56,Schweiz,1.Liga,Schweiz U19,Super League,FC Zürich,20.0,685.0,0,1,3.0,1,100000.0
84,Schweiz,1.Liga,Ghana,Super League,FC St. Gallen,26.0,1209.0,1,0,14.0,1,3000000.0
85,Schweiz,1.Liga,,Super League,FC St. Gallen,27.0,1000.0,0,0,0.0,1,200000.0
86,Schweiz,1.Liga,,Super League,FC St. Gallen,19.0,320.0,0,0,0.0,1,100000.0
116,Schweiz,1.Liga,Schweiz,Super League,Servette FC,30.0,2511.0,1,0,0.0,0,500000.0
117,Schweiz,1.Liga,Schweiz U20,Super League,Servette FC,21.0,1050.0,1,0,1.0,1,300000.0
118,Schweiz,1.Liga,Schweiz U21,Super League,Servette FC,33.0,672.0,0,1,1.0,0,100000.0
146,Schweiz,1.Liga,Deutschland U21,Super League,FC Luzern,29.0,1412.0,0,1,0.0,0,1000000.0
147,Schweiz,1.Liga,Schweiz U21,Super League,FC Luzern,19.0,685.0,1,0,1.0,1,200000.0
148,Schweiz,1.Liga,Serbien U21,Super League,FC Luzern,33.0,685.0,0,1,5.0,0,200000.0
177,Schweiz,1.Liga,Portugal U21,Super League,Grasshoppers,27.0,685.0,0,1,1.0,1,1200000.0
178,Schweiz,1.Liga,Schweiz U21,Super League,Grasshoppers,22.0,320.0,1,0,3.0,1,500000.0
179,Schweiz,1.Liga,Frankreich U19,Super League,Grasshoppers,22.0,495.0,0,1,0.0,1,300000.0
203,Schweiz,1.Liga,Schweiz U21,Super League,FC Lugano,22.0,614.0,0,0,10.0,0,1000000.0
204,Schweiz,1.Liga,Nigeria,Super League,FC Lugano,29.0,1000.0,0,1,0.0,1,400000.0
205,Schweiz,1.Liga,Schweiz U20,Super League,FC Lugano,21.0,286.0,0,1,0.0,1,100000.0
228,Schweiz,1.Liga,Österreich,Super League,FC Sion,32.0,320.0,1,0,36.0,0,800000.0
229,Schweiz,1.Liga,,Super League,FC Sion,23.0,320.0,0,0,0.0,0,100000.0
230,Schweiz,1.Liga,Schweiz U21,Super League,FC Sion,34.0,5068.0,0,1,5.0,0,100000.0
256,Schweiz,1.Liga,DR Kongo,Super League,FC Winterthur,23.0,320.0,0,1,0.0,1,1200000.0
257,Schweiz,1.Liga,Österreich,Super League,FC Winterthur,29.0,136.0,0,1,0.0,0,400000.0
258,Schweiz,1.Liga,Kosovo,Super League,FC Winterthur,23.0,685.0,0,0,0.0,1,300000.0
259,Schweiz,1.Liga,Schweiz U18,Super League,FC Winterthur,21.0,320.0,0,1,1.0,1,100000.0
281,Schweiz,2.Liga,Schweiz U19,Challenge League,Lausanne-Sport,29.0,3972.0,0,1,0.0,0,300000.0
282,Schweiz,2.Liga,Schweiz U21,Challenge League,Lausanne-Sport,30.0,320.0,0,1,3.0,0,300000.0
283,Schweiz,2.Liga,,Challenge League,Lausanne-Sport,23.0,685.0,0,0,0.0,1,100000.0
305,Schweiz,2.Liga,Schweiz U20,Challenge League,FC Thun,23.0,1781.0,0,1,1.0,1,350000.0
306,Schweiz,2.Liga,Schweiz U21,Challenge League,FC Thun,27.0,261.0,0,1,2.0,0,300000.0
307,Schweiz,2.Liga,Schweiz U18,Challenge League,FC Thun,30.0,1416.0,0,1,2.0,0,150000.0
308,Schweiz,2.Liga,,Challenge League,FC Thun,21.0,685.0,0,0,0.0,1,50000.0
334,Schweiz,2.Liga,,Challenge League,Stade-Lausanne,30.0,986.0,0,0,0.0,0,150000.0
335,Schweiz,2.Liga,Schweiz U18,Challenge League,Stade-Lausanne,22.0,777.0,0,1,1.0,1,150000.0
336,Schweiz,2.Liga,,Challenge League,Stade-Lausanne,21.0,630.0,0,0,0.0,1,50000.0
361,Schweiz,2.Liga,Schweiz U21,Challenge League,FC Aarau,25.0,685.0,0,1,0.0,0,450000.0
362,Schweiz,2.Liga,Schweiz U19,Challenge League,FC Aarau,22.0,307.0,0,1,6.0,0,50000.0
386,Schweiz,2.Liga,Liechtenstein,Challenge League,FC Vaduz,33.0,1781.0,1,0,53.0,0,200000.0
387,Schweiz,2.Liga,Mosambik,Challenge League,FC Vaduz,25.0,1416.0,1,0,1.0,1,100000.0
388,Schweiz,2.Liga,Liechtenstein,Challenge League,FC Vaduz,20.0,320.0,0,1,0.0,1,50000.0
414,Schweiz,2.Liga,,Challenge League,AC Bellinzona,22.0,310.0,0,0,0.0,1,200000.0
415,Schweiz,2.Liga,DR Kongo,Challenge League,AC Bellinzona,31.0,310.0,1,0,25.0,0,200000.0
416,Schweiz,2.Liga,Schweiz U19,Challenge League,AC Bellinzona,22.0,685.0,0,1,0.0,0,50000.0
417,Schweiz,Jugendliga,,Swiss U18 Elite League,Team Ticino U18,18.0,685.0,0,0,0.0,1,50000.0
446,Schweiz,2.Liga,,Challenge League,FC Schaffhausen,30.0,669.0,0,0,0.0,0,300000.0
447,Schweiz,2.Liga,,Challenge League,FC Schaffhausen,19.0,295.0,0,0,0.0,1,100000.0
448,Schweiz,2.Liga,,Challenge League,FC Schaffhausen,23.0,135.0,0,0,0.0,1,50000.0
475,Schweiz,2.Liga,,Challenge League,Neuchâtel Xamax,27.0,680.0,0,0,0.0,0,300000.0
476,Schweiz,2.Liga,,Challenge League,Neuchâtel Xamax,21.0,450.0,0,0,0.0,1,50000.0
477,Schweiz,4.Liga,Schweiz U16,1. Liga Gr. 2,Xamax FCS U21,20.0,1232.0,0,1,2.0,1,50000.0
507,Schweiz,2.Liga,Schweiz U21,Challenge League,FC Wil 1900,27.0,92.0,0,1,2.0,0,700000.0
508,Schweiz,2.Liga,Schweiz U21,Challenge League,FC Wil 1900,22.0,320.0,0,1,0.0,0,100000.0
509,Schweiz,2.Liga,Schweiz U15,Challenge League,FC Wil 1900,22.0,320.0,0,1,1.0,1,100000.0
533,Schweiz,2.Liga,Schweiz U20,Challenge League,Yverdon Sport,27.0,1781.0,0,1,0.0,0,250000.0
534,Schweiz,2.Liga,Schweiz U20,Challenge League,Yverdon Sport,19.0,319.0,1,0,1.0,1,50000.0
535,Schweiz,2.Liga,,Challenge League,Yverdon Sport,23.0,320.0,0,0,0.0,1,50000.0
563,Schweiz,3.Liga,Schweiz U18,Promotion League,FC Basel U21,17.0,320.0,0,0,3.0,1,50000.0
564,Schweiz,3.Liga,,Promotion League,FC Basel U21,18.0,320.0,0,0,0.0,1,25000.0
589,Schweiz,3.Liga,,Promotion League,Etoile Carouge,24.0,1781.0,0,0,0.0,0,100000.0
590,Schweiz,3.Liga,,Promotion League,Etoile Carouge,22.0,685.0,0,0,0.0,1,25000.0
591,Schweiz,3.Liga,,Promotion League,Etoile Carouge,22.0,665.0,0,0,0.0,1,25000.0
615,Schweiz,3.Liga,,Promotion League,Stade Nyonnais,30.0,643.0,0,0,0.0,0,100000.0
616,Schweiz,3.Liga,,Promotion League,Stade Nyonnais,21.0,320.0,0,0,0.0,1,25000.0
638,Schweiz,3.Liga,,Promotion League,Rapperswil-Jona,34.0,6164.0,0,0,0.0,0,100000.0
639,Schweiz,3.Liga,,Promotion League,Rapperswil-Jona,22.0,840.0,0,0,0.0,0,50000.0
640,Schweiz,3.Liga,,Promotion League,Rapperswil-Jona,22.0,1416.0,0,0,0.0,1,25000.0
664,Schweiz,3.Liga,,Promotion League,Luzern U21,18.0,320.0,0,0,0.0,1,100000.0
665,Schweiz,3.Liga,Schweiz U18,Promotion League,Luzern U21,19.0,320.0,0,1,1.0,1,25000.0
689,Schweiz,3.Liga,,Promotion League,FC Zürich U21,20.0,685.0,0,0,0.0,1,25000.0
690,Schweiz,3.Liga,,Promotion League,FC Zürich U21,18.0,320.0,0,0,0.0,1,25000.0
691,Schweiz,3.Liga,,Promotion League,FC Zürich U21,20.0,1050.0,0,0,0.0,1,25000.0
716,Schweiz,3.Liga,,Promotion League,SC Kriens,24.0,1781.0,0,0,0.0,0,50000.0
717,Schweiz,3.Liga,Schweiz U19,Promotion League,SC Kriens,23.0,302.0,0,1,6.0,0,50000.0
718,Schweiz,3.Liga,,Promotion League,SC Kriens,23.0,320.0,0,0,0.0,1,25000.0
740,Schweiz,3.Liga,,Promotion League,SC Brühl SG,21.0,1781.0,0,0,0.0,0,125000.0
741,Schweiz,3.Liga,,Promotion League,SC Brühl SG,37.0,1050.0,0,0,0.0,0,25000.0
742,Schweiz,3.Liga,,Promotion League,SC Brühl SG,21.0,866.0,0,0,0.0,1,25000.0
767,Schweiz,3.Liga,,Promotion League,FC Bavois,29.0,2327.0,0,0,0.0,1,50000.0
768,Schweiz,3.Liga,,Promotion League,FC Bavois,28.0,624.0,0,0,0.0,1,25000.0
792,Schweiz,3.Liga,,Promotion League,St. Gallen U21,20.0,685.0,0,0,0.0,1,25000.0
793,Schweiz,3.Liga,Schweiz U18,Promotion League,St. Gallen U21,19.0,320.0,0,1,1.0,1,25000.0
819,Schweiz,3.Liga,,Promotion League,SC Cham,21.0,825.0,0,0,0.0,1,150000.0
820,Schweiz,3.Liga,Schweiz U18,Promotion League,SC Cham,21.0,491.0,0,1,0.0,1,25000.0
845,Schweiz,3.Liga,,Promotion League,FC Breitenrain,26.0,1781.0,0,0,0.0,0,100000.0
846,Schweiz,3.Liga,,Promotion League,FC Breitenrain,34.0,1368.0,0,0,0.0,1,25000.0
869,Schweiz,3.Liga,,Promotion League,FC Biel-Bienne,21.0,120.0,0,0,0.0,1,100000.0
870,Schweiz,3.Liga,DR Kongo,Promotion League,FC Biel-Bienne,29.0,129.0,0,1,6.0,0,50000.0
871,Schweiz,3.Liga,,Promotion League,FC Biel-Bienne,32.0,1781.0,0,0,0.0,1,25000.0
894,Schweiz,3.Liga,Schweiz U20,Promotion League,BSC YB U21,20.0,685.0,0,1,0.0,1,100000.0
895,Schweiz,3.Liga,Schweiz U19,Promotion League,BSC YB U21,19.0,320.0,0,0,0.0,1,25000.0
896,Schweiz,3.Liga,Nicaragua U20,Promotion League,BSC YB U21,18.0,320.0,0,1,0.0,1,25000.0
918,Schweiz,3.Liga,,Promotion League,FC Bulle,23.0,1050.0,0,0,0.0,1,50000.0
946,Schweiz,3.Liga,,Promotion League,SC YF Juventus,21.0,456.0,0,0,0.0,1,50000.0
947,Schweiz,3.Liga,Schweiz U20,Promotion League,SC YF Juventus,27.0,685.0,0,1,3.0,0,50000.0
948,Schweiz,3.Liga,Schweiz U18,Promotion League,SC YF Juventus,21.0,841.0,0,1,1.0,1,50000.0
976,Schweiz,3.Liga,Schweiz U20,Promotion League,FC Baden 1897,20.0,1013.0,0,0,3.0,0,75000.0
1001,Deutschland,1.Liga,Deutschland,Bundesliga,Bayern München,37.0,4338.0,0,0,117.0,0,7000000.0
1002,Deutschland,1.Liga,Schweiz,Bundesliga,Bayern München,34.0,118.0,1,0,82.0,0,5000000.0
1003,Deutschland,1.Liga,Deutschland,Bundesliga,Bayern München,34.0,685.0,0,1,0.0,0,900000.0
1004,Deutschland,1.Liga,,Bundesliga,Bayern München,20.0,320.0,0,0,0.0,1,300000.0
1028,Deutschland,1.Liga,Schweiz,Bundesliga,Bor. Dortmund,25.0,685.0,0,0,4.0,1,35000000.0
1029,Deutschland,1.Liga,Polen U21,Bundesliga,Bor. Dortmund,21.0,320.0,0,1,2.0,1,1300000.0
1030,Deutschland,1.Liga,,Bundesliga,Bor. Dortmund,32.0,320.0,0,0,0.0,1,1000000.0
1031,Deutschland,1.Liga,Deutschland U21,Bundesliga,Bor. Dortmund,22.0,1416.0,0,0,0.0,0,1000000.0
1061,Deutschland,1.Liga,Ungarn,Bundesliga,RB Leipzig,33.0,2877.0,0,0,51.0,0,6000000.0
