no,name,league,club
26,David von Ballmoos,Super League,BSC Young Boys
33,Marvin Keller,Super League,BSC Young Boys
40,Dario Marzino,Super League,BSC Young Boys
61,Leandro Zbinden,Super League,BSC Young Boys
13,Mohamed Camara,Super League,BSC Young Boys
5,Cédric Zesiger,Super League,BSC Young Boys
30,Sandro Lauper,Super League,BSC Young Boys
4,Aurèle Amenda,Super League,BSC Young Boys
28,Fabian Lustenberger,Super League,BSC Young Boys
21,Ulisses Garcia,Super League,BSC Young Boys
23,Loris Benito,Super League,BSC Young Boys
17,Kevin Rüegg,Super League,BSC Young Boys
27,Lewin Blum,Super League,BSC Young Boys
24,Quentin Maceiras,Super League,BSC Young Boys
20,Cheikh Niasse,Super League,BSC Young Boys
14,Miguel Chaiwa,Super League,BSC Young Boys
29,Kastriot Imeri,Super League,BSC Young Boys
7,Filip Ugrinic,Super League,BSC Young Boys
32,Fabian Rieder,Super League,BSC Young Boys
22,Donat Rrudhani,Super League,BSC Young Boys
16,Christian Fassnacht,Super League,BSC Young Boys
15,Meschack Elia,Super League,BSC Young Boys
18,Jean-Pierre Nsame,Super League,BSC Young Boys
11,Cedric Itten,Super League,BSC Young Boys
77,Joël Monteiro,Super League,BSC Young Boys
annick,Toure,Super League,BSC Young Boys
13,Mirko Salvi,Super League,FC Basel
16,Nils de Mol,Super League,FC Basel
21,Andy Pelmard,Super League,FC Basel
4,Arnau Comas,Super League,FC Basel
15,Kasim Adams,Super League,FC Basel
33,Riccardo Calafiori,Super League,FC Basel
28,Hugo Vogel,Super League,FC Basel
22,Sergio López,Super League,FC Basel
5,Michael Lang,Super League,FC Basel
20,Fabian Frei,Super League,FC Basel
34,Taulant Xhaka,Super League,FC Basel
23,Wouter Burger,Super League,FC Basel
8,Andy Diouf,Super League,FC Basel
40,Liam Chipperfield,Super League,FC Basel
18,Emmanuel Essiam,Super League,FC Basel
9,Zeki Amdouni,Super League,FC Basel
19,Darian Males,Super League,FC Basel
29,Adriano Onyegbule,Super League,FC Basel
7,Liam Millar,Super League,FC Basel
30,Anton Kade,Super League,FC Basel
90,Hugo Novoa,Super League,FC Basel
27,Dan Ndoye,Super League,FC Basel
17,Andi Zeqiri,Super League,FC Basel
10,Jean-Kévin Augustin,Super League,FC Basel
14,Bradley Fink,Super League,FC Basel
26,Kaly Sène,Super League,FC Basel
25,Yanick Brecher,Super League,FC Zürich
34,Gianni De Nitti,Super League,FC Zürich
4,Becir Omeragic,Super League,FC Zürich
6,Fidan Aliti,Super League,FC Zürich
24,Nikola Katic,Super League,FC Zürich
2,Lindrit Kamberi,Super League,FC Zürich
31,Mirlind Kryeziu,Super League,FC Zürich
16,Marc Hornschuh,Super League,FC Zürich
35,Ilan Sauter,Super League,FC Zürich
36,Ramon Guzzo,Super League,FC Zürich
8,Ole Selnaes,Super League,FC Zürich
12,Ifeanyi Mathew,Super League,FC Zürich
17,Cheick Conde,Super League,FC Zürich
33,Stephan Seiler,Super League,FC Zürich
21,Blerim Dzemaili,Super League,FC Zürich
26,Miguel Reichmuth,Super League,FC Zürich
19,Nikola Boranijasevic,Super League,FC Zürich
23,Fabian Rohner,Super League,FC Zürich
32,Selmin Hodza,Super League,FC Zürich
3,Adrián Guerrero,Super League,FC Zürich
11,Jonathan Okita,Super League,FC Zürich
7,Bledian Krasniqi,Super League,FC Zürich
10,Antonio Marchesano,Super League,FC Zürich
18,Daniel Afriyie,Super League,FC Zürich
22,Roko Simic,Super League,FC Zürich
15,Aiyegun Tosin,Super League,FC Zürich
9,Ivan Santini,Super League,FC Zürich
38,Calixte Ligue,Super League,FC Zürich
14,Carson Buschman-Dormond,Super League,FC Zürich
25,Lukas Watkowiak,Super League,FC St. Gallen
35,Bela Dumrath,Super League,FC St. Gallen
4,Leonidas Stergiou,Super League,FC St. Gallen
5,Matej Maglica,Super League,FC St. Gallen
6,Basil Stillhart,Super League,FC St. Gallen
3,Musah Nuhu,Super League,FC St. Gallen
33,Isaac Schmidt,Super League,FC St. Gallen
24,Michael Kempter,Super League,FC St. Gallen
20,Albert Vallci,Super League,FC St. Gallen
30,Patrick Sutter,Super League,FC St. Gallen
29,Alessandro Kräuchi,Super League,FC St. Gallen
8,Jordi Quintillà,Super League,FC St. Gallen
32,David Jacovic,Super League,FC St. Gallen
28,Ricardo Alves,Super League,FC St. Gallen
34,Stefano Guidotti,Super League,FC St. Gallen
10,Edis Bytyqi,Promotion League,St. Gallen U21
16,Lukas Görtler,Super League,FC St. Gallen
37,Christian Witzig,Super League,FC St. Gallen
27,Randy Schneider,Super League,FC St. Gallen
23,Grégory Karlen,Super League,FC St. Gallen
13,Leonhard Münst,Super League,FC St. Gallen
69,Willem Geubbels,Super League,FC St. Gallen
11,Julian Von Moos,Super League,FC St. Gallen
10,Chadrac Akolo,Super League,FC St. Gallen
77,Leon Dajaku,Super League,FC St. Gallen
31,Alessio Besio,Super League,FC St. Gallen
22,Emmanuel Latte Lath,Super League,FC St. Gallen
9,Jérémy Guillemenot,Super League,FC St. Gallen
7,Fabian Schubert,Super League,FC St. Gallen
23,Fabrizio Cavegn,Promotion League,St. Gallen U21
93,Noha Ndombasi,Super League,FC St. Gallen
32,Jérémy Frick,Super League,Servette FC
40,Edin Omeragic,Super League,Servette FC
33,Nicolas Vouilloz,Super League,Servette FC
19,Yoan Severin,Super League,Servette FC
4,Steve Rouiller,Super League,Servette FC
21,Baba Souare,Super League,Servette FC
34,Anthony Baron,Super League,Servette FC
24,Malik Sawadogo,Super League,Servette FC
3,Gaël Clichy,Super League,Servette FC
43,Kevin Mbabu,Super League,Servette FC
2,Moussa Diallo,Super League,Servette FC
26,Moritz Bauer,Super League,Servette FC
20,Théo Magnin,Super League,Servette FC
28,David Douline,Super League,Servette FC
5,Boris Cespedes,Super League,Servette FC
30,Samba Lélé Diba,Super League,Servette FC
8,Timothé Cognat,Super League,Servette FC
15,Théo Valls,Super League,Servette FC
25,Sidiki Camara,Super League,Servette FC
10,Alexis Antunes,Super League,Servette FC
17,Dereck Kutesa,Super League,Servette FC
11,Boubacar Fofana,Super League,Servette FC
7,Patrick Pflücke,Super League,Servette FC
9,Miroslav Stevanovic,Super League,Servette FC
23,Ronny Rodelin,Super League,Servette FC
29,Chris Bedia,Super League,Servette FC
27,Enzo Crivelli,Super League,Servette FC
lyes,Chaïbi,1. Liga Gr. 1,Servette U21
38,Pascal Loretz,Super League,FC Luzern
90,Vaso Vasic,Super League,FC Luzern
46,Marco Burch,Super League,FC Luzern
4,Luca Jaquez,Super League,FC Luzern
30,Ismajl Beka,Super League,FC Luzern
5,Denis Simani,Super League,FC Luzern
24,Thoma Monney,Super League,FC Luzern
13,Martin Frydek,Super League,FC Luzern
33,Leny Meyer,Super League,FC Luzern
2,Mohamed Dräger,Super League,FC Luzern
20,Pius Dorn,Super League,FC Luzern
74,Severin Ottiger,Super League,FC Luzern
6,Ardon Jashari,Super League,FC Luzern
15,Mamady Diambou,Super League,FC Luzern
18,Nicky Beloko,Super League,FC Luzern
41,Noah Rupp,Super League,FC Luzern
31,Lorik Emini,Super League,FC Luzern
11,Pascal Schürpf,Super League,FC Luzern
7,Max Meyer,Super League,FC Luzern
16,Jakub Kadak,Super League,FC Luzern
10,Samuele Campo,Super League,FC Luzern
8,Samuel Alabi,Super League,FC Luzern
69,Sofyan Chader,Super League,FC Luzern
14,Luuk Breedijk,Super League,FC Luzern
21,Asumah Abubakar,Super League,FC Luzern
17,Thibault Klidjé,Super League,FC Luzern
77,Benjamin Kimpioka,Super League,FC Luzern
9,Dejan Sorgic,Super League,FC Luzern
22,Nando Toggenburger,Super League,FC Luzern
27,Lars Villiger,Super League,FC Luzern
71,Justin Hammel,Super League,Grasshoppers
93,Lévi Ntumba,Super League,Grasshoppers
15,Ayumu Seko,Super League,Grasshoppers
14,Tomás Ribeiro,Super League,Grasshoppers
41,Noah Loosli,Super League,Grasshoppers
33,Georg Margreitter,Super League,Grasshoppers
73,Florian Hoxha,Super League,Grasshoppers
77,Bendegúz Bolla,Super League,Grasshoppers
34,Teruki Hara,Super League,Grasshoppers
25,Nadjack,Super League,Grasshoppers
6,Amir Abrashi,Super League,Grasshoppers
40,Hayao Kawabe,Super League,Grasshoppers
28,Christian Herc,Super League,Grasshoppers
7,Tsiy William Ndenge,Super League,Grasshoppers
31,Dominik Schmid,Super League,Grasshoppers
10,Petar Pusic,Super League,Grasshoppers
17,Dion Kacuri,Super League,Grasshoppers
23,Meritan Shabani,Super League,Grasshoppers
57,Filipe de Carvalho Ferreira,Super League,Grasshoppers
56,Leonardo Uka,Super League,Grasshoppers
8,Giotto Morandi,Super League,Grasshoppers
27,Renat Dadashov,Super League,Grasshoppers
22,Francis Momoh,Super League,Grasshoppers
95,Guilherme Schettine,Super League,Grasshoppers
9,Shkelqim Demhasaj,Super League,Grasshoppers
58,Sebastian Osigwe,Super League,FC Lugano
13,Serif Berbic,Super League,FC Lugano
15,Lukas Mai,Super League,FC Lugano
34,Allan Arigoni,Super League,FC Lugano
5,Albian Hajdari,Super League,FC Lugano
4,Kreshnik Hajrizi,Super League,FC Lugano
30,Fabio Daprelà,Super League,FC Lugano
23,Leonid Srdic,Super League,FC Lugano
23,Milton Valenzuela,Super League,FC Lugano
7,Mickaël Facchinetti,Super League,FC Lugano
6,Jhon Espinoza,Super League,FC Lugano
20,Ousmane Doumbia,Super League,FC Lugano
