league_country,scraping_time,link,no,name,league,club,league_level,club_since,contract_until,age,height,nationality,position,foot,consultancy,supplier,international,former_international,international_games,international_goals,market_value,market_value_currency,market_value_latest_correction,highest_market_value,highest_market_value_date,starting_eleven_quote,minutes_quote,penalty_saves_quote,goal_participation_quote,instagram,injury,goals_conceded,clean_sheets,games,points_per_game,goals,assists,own_goals,ins,outs,yellow_cards,yellow_red_cards,red_cards,penalty_goals,minutes_per_goal,minutes
Schweiz,20230419215950,https://www.transfermarkt.ch/david-von-ballmoos/profil/spieler/203124,26,David von Ballmoos,Super League,BSC Young Boys,1.Liga,01.07.2013,30.06.2025,28,"1,92 m",Schweiz,Torwart,rechts,Giallanza Sport,adidas,Schweiz,,0,0,"2,50 Mio. €Letzte Änderung: 10.11.2022",Mio. €,Letzte Änderung: 10.11.2022,"3,50 Mio. €",07.10.2019,54,53,50,,http://www.instagram.com/davidvonballmoos/,KnieverletzungRückkehr unbekannt,9,7,15,"2,13",-,,-,-,1,-,-,-,,,1.324'
Schweiz,20230419220000,https://www.transfermarkt.ch/anthony-racioppi/profil/spieler/395671,1,Anthony Racioppi,Super League,BSC Young Boys,1.Liga,10.01.2022,30.06.2025,24,"1,88 m",Schweiz,Torwart,rechts,Guanabara Esportes SA,,,Schweiz U21,13,0,"1,30 Mio. €Letzte Änderung: 28.03.2023",Mio. €,Letzte Änderung: 28.03.2023,"2,00 Mio. €",07.01.2021,46,47,0,,http://www.instagram.com/racioppi_anthony/,,11,5,14,"1,93",-,,-,1,-,-,-,-,,,1.196'
Schweiz,20230419220018,https://www.transfermarkt.ch/marvin-keller/profil/spieler/500763,33,Marvin Keller,Super League,BSC Young Boys,1.Liga,13.02.2023,30.06.2027,20,"1,90 m",Schweiz,Torwart,,IFM,,Schweiz U21,,2,0,500 Tsd. €Letzte Änderung: 29.12.2022,Tsd. €,Letzte Änderung: 29.12.2022,500 Tsd. €,29.12.2022,0,0,0,,,,-,-,-,-,-,,-,-,-,-,-,-,,,-
Schweiz,20230419220042,https://www.transfermarkt.ch/dario-marzino/profil/spieler/254968,40,Dario Marzino,Super League,BSC Young Boys,1.Liga,08.07.2022,30.06.2023,26,"1,84 m",Schweiz,Torwart,rechts,Front Group GmbH,,,Schweiz U21,0,0,100 Tsd. €Letzte Änderung: 28.03.2023,Tsd. €,Letzte Änderung: 28.03.2023,300 Tsd. €,21.04.2021,0,0,0,,,,-,-,-,-,-,,-,-,-,-,-,-,,,-
Schweiz,20230419220110,https://www.transfermarkt.ch/leandro-zbinden/profil/spieler/507524,61,Leandro Zbinden,Super League,BSC Young Boys,1.Liga,01.07.2021,30.06.2023,20,"1,89 m",Schweiz,Torwart,,Soccer Mondial AG,,,Schweiz U15,1,0,100 Tsd. €Letzte Änderung: 10.11.2022,Tsd. €,Letzte Änderung: 10.11.2022,100 Tsd. €,04.10.2021,,,,,,unbekannte VerletzungRückkehr unbekannt,,,,,,,,,,,,,,,
Schweiz,20230419220133,https://www.transfermarkt.ch/mohamed-camara/profil/spieler/426723,13,Mohamed Camara,Super League,BSC Young Boys,1.Liga,06.07.2018,30.06.2024,25,"1,91 m",Guinea,Innenverteidiger,rechts,CAA Stellar,,Guinea,,19,0,"5,00 Mio. €Letzte Änderung: 28.03.2023",Mio. €,Letzte Änderung: 28.03.2023,"5,00 Mio. €",28.03.2023,39,38,,0,http://www.instagram.com/camara_mhdali4/,MeniskusrissRückkehr unbekannt,,,11,"2,36",-,-,-,-,1,2,-,-,-,-,956'
Schweiz,20230419220152,https://www.transfermarkt.ch/cedric-zesiger/profil/spieler/382478,5,Cédric Zesiger,Super League,BSC Young Boys,1.Liga,01.07.2019,30.06.2025,24,"1,94 m",Schweiz,Innenverteidiger,links,IFM,adidas,Schweiz,,2,0,"4,00 Mio. €Letzte Änderung: 28.03.2023",Mio. €,Letzte Änderung: 28.03.2023,"4,00 Mio. €",28.03.2023,86,84,,3,http://www.instagram.com/zesiger5/,,,,24,"2,00",2,-,-,-,1,8,1,-,-,1.063',2.126'
Schweiz,20230419220212,https://www.transfermarkt.ch/sandro-lauper/profil/spieler/254965,30,Sandro Lauper,Super League,BSC Young Boys,1.Liga,01.07.2018,30.06.2025,26,"1,85 m",Schweiz,Innenverteidiger,rechts,Sport 11 AG,Nike,,Schweiz,0,0,"1,50 Mio. €Letzte Änderung: 10.11.2022",Mio. €,Letzte Änderung: 10.11.2022,"3,00 Mio. €",21.01.2019,25,28,,5,http://www.instagram.com/sml.30/,,,,12,"2,08",1,2,-,5,2,-,-,-,-,709',709'
Schweiz,20230419220231,https://www.transfermarkt.ch/aurele-amenda/profil/spieler/635645,4,Aurèle Amenda,Super League,BSC Young Boys,1.Liga,01.01.2022,30.06.2025,19,"1,94 m",Schweiz,Innenverteidiger,,Signature - ISCM AG,adidas,Schweiz U21,,1,0,500 Tsd. €Letzte Änderung: 28.03.2023,Tsd. €,Letzte Änderung: 28.03.2023,500 Tsd. €,28.03.2023,18,21,,0,,,,,9,"1,78",-,-,-,4,-,1,-,-,-,-,521'
Schweiz,20230419220253,https://www.transfermarkt.ch/fabian-lustenberger/profil/spieler/42203,28,Fabian Lustenberger,Super League,BSC Young Boys,1.Liga,01.07.2019,30.06.2023,34,"1,80 m",Schweiz,Innenverteidiger,rechts,Signature - ISCM AG,,,Schweiz,3,0,400 Tsd. €Letzte Änderung: 10.11.2022,Tsd. €,Letzte Änderung: 10.11.2022,"5,00 Mio. €",12.02.2014,57,58,,0,,,,,20,"2,25",-,-,-,4,4,3,-,-,-,-,1.464'
Schweiz,20230419220317,https://www.transfermarkt.ch/ulisses-garcia/profil/spieler/192616,21,Ulisses Garcia,Super League,BSC Young Boys,1.Liga,01.07.2018,30.06.2024,27,"1,83 m",Schweiz,Linker Verteidiger,links,Soccer Mondial AG,Nike,,Schweiz,4,0,"2,00 Mio. €Letzte Änderung: 28.03.2023",Mio. €,Letzte Änderung: 28.03.2023,"3,00 Mio. €",03.01.2022,61,57,,11,http://www.instagram.com/ulissesgarcia20/,,,,19,"2,00",1,6,-,2,5,4,-,1,-,1.439',1.439'
Schweiz,20230419220340,https://www.transfermarkt.ch/loris-benito/profil/spieler/119085,23,Loris Benito,Super League,BSC Young Boys,1.Liga,04.07.2022,30.06.2025,31,"1,84 m",Schweiz,Linker Verteidiger,links,SBE Management AG,,,Schweiz,13,1,800 Tsd. €Letzte Änderung: 10.11.2022,Tsd. €,Letzte Änderung: 10.11.2022,"4,00 Mio. €",04.06.2019,32,32,,5,http://www.instagram.com/lorisbenito/,OberschenkelverletzungRückkehr unbekannt,,,14,"2,21",-,3,-,5,3,-,-,-,-,-,815'
Schweiz,20230419220401,https://www.transfermarkt.ch/kevin-ruegg/profil/spieler/290032,17,Kevin Rüegg,Super League,BSC Young Boys,1.Liga,16.07.2022,30.06.2023,24,"1,73 m",Schweiz,Rechter Verteidiger,rechts,SBE Management AG,Nike,,Schweiz U21,17,0,"1,00 Mio. €Letzte Änderung: 10.11.2022",Mio. €,Letzte Änderung: 10.11.2022,"6,00 Mio. €",04.06.2019,25,22,,2,http://www.instagram.com/kevin.rueegg,unbekannte VerletzungRückkehr unbekannt,,,9,"2,22",-,1,-,2,6,1,-,-,-,-,556'
Schweiz,20230419220422,https://www.transfermarkt.ch/lewin-blum/profil/spieler/507455,27,Lewin Blum,Super League,BSC Young Boys,1.Liga,01.07.2021,30.06.2027,21,"1,81 m",Schweiz,Rechter Verteidiger,rechts,IFM,,Schweiz U21,,7,0,"1,00 Mio. €Letzte Änderung: 10.11.2022",Mio. €,Letzte Änderung: 10.11.2022,"1,00 Mio. €",10.11.2022,68,64,,5,,,,,25,"2,12",-,3,-,6,9,7,-,-,-,-,1.610'
Schweiz,20230419220444,https://www.transfermarkt.ch/quentin-maceiras/profil/spieler/274498,24,Quentin Maceiras,Super League,BSC Young Boys,1.Liga,11.08.2020,30.06.2024,27,"1,81 m",Schweiz,Rechter Verteidiger,rechts,Gold Kick SA,,,,,,500 Tsd. €Letzte Änderung: 10.11.2022,Tsd. €,Letzte Änderung: 10.11.2022,"1,00 Mio. €",12.07.2018,11,13,,0,,,,,6,"1,50",-,-,-,3,1,1,-,-,-,-,322'
Schweiz,20230419220518,https://www.transfermarkt.ch/cheikh-niasse/profil/spieler/644032,20,Cheikh Niasse,Super League,BSC Young Boys,1.Liga,03.02.2022,30.06.2026,23,"1,88 m",Senegal,Defensives Mittelfeld,rechts,DKN Agency,adidas,,,,,"2,50 Mio. €Letzte Änderung: 10.11.2022",Mio. €,Letzte Änderung: 10.11.2022,"2,50 Mio. €",10.11.2022,68,63,,2,,unbekannte VerletzungRückkehr unbekannt,,,22,"2,09",-,1,-,3,7,6,-,-,-,-,1.588'
Schweiz,20230419220544,https://www.transfermarkt.ch/miguel-chaiwa/profil/spieler/956604,14,Miguel Chaiwa,Super League,BSC Young Boys,1.Liga,01.07.2022,30.06.2027,18,"1,81 m",Sambia,Defensives Mittelfeld,rechts,Guanabara Esportes SA,,Sambia,,1,0,100 Tsd. €Letzte Änderung: 28.03.2023,Tsd. €,Letzte Änderung: 28.03.2023,100 Tsd. €,28.03.2023,0,3,,0,,,,,,,,,,,,,,,,,
Schweiz,20230419220609,https://www.transfermarkt.ch/kastriot-imeri/profil/spieler/469957,29,Kastriot Imeri,Super League,BSC Young Boys,1.Liga,16.08.2022,30.06.2026,22,"1,78 m",Schweiz,Zentrales Mittelfeld,rechts,Footuro AG,adidas,Schweiz U21,,20,7,"7,00 Mio. €Letzte Änderung: 28.03.2023",Mio. €,Letzte Änderung: 28.03.2023,"8,00 Mio. €",08.06.2022,48,49,,10,,,,,20,"2,25",3,2,-,9,7,-,-,-,-,340',1.020'
