league_country,scraping_time,link,no,name,league,club,age,height,nationality,position,foot,consultancy,supplier,club_since,contract_until,international,former_international,international_games,international_goals,market_value,market_value_currency,market_value_latest_correction,highest_market_value,highest_market_value_date,starting_eleven_quote,minutes_quote,penalty_saves_quote,goal_participation_quote,instagram,injury,goals_conceded,clean_sheets,games,points_per_game,goals,assists,own_goals,ins,outs,yellow_cards,yellow_red_cards,red_cards,penalty_goals,minutes_per_goal,minutes
Griechenland,20230420225137,https://www.transfermarkt.ch/antonis-pertsiounis/profil/spieler/836813,,Antonis Pertsiounis,,AE Evosmou,21,,Griechenland,Mittelfeld,,,,01.07.2022,30.06.2023,,,,,,,,10 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420225229,https://www.transfermarkt.ch/markos-vellidis/profil/spieler/27583,1,Markos Vellidis,Super League 2,Iraklis,2.Liga,36,"1,85 m",Griechenland,Torwart,rechts,,,13.07.2022,30.06.2024,,Griechenland,1,0,150 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,"1,25 Mio. €",21.09.2012,83,85,0,,,,,,,,,,,,,,,,,,
Griechenland,20230420225251,https://www.transfermarkt.ch/panagiotis-vosniadis/profil/spieler/206693,13,Panagiotis Vosniadis,Super League 2,Kallithea,2.Liga,33,"1,90 m",Griechenland,Torwart,rechts,BELLATORsports,,17.09.2021,30.06.2023,,,,,100 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,250 Tsd. €,09.04.2012,22,22,0,,,,,,,,,,,,,,,,,,
Griechenland,20230420225312,https://www.transfermarkt.ch/vasilios-tsimopoulos/profil/spieler/458499,37,Vasilios Tsimopoulos,Super League 2,Thesprotos,2.Liga,22,"1,90 m",Griechenland,Torwart,rechts,ZAIX,,27.08.2022,30.06.2023,,Griechenl. U18,0,0,75 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,75 Tsd. €,27.02.2023,95,95,0,,,,30,1,18,"0,50",2,,-,-,-,2,-,-,,,1.620'
Griechenland,20230420225329,https://www.transfermarkt.ch/giannis-vantsis/profil/spieler/836808,,Giannis Vantsis,,PO Moudanion,20,"1,85 m",Griechenland,Torwart,,,,01.07.2022,30.06.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420225423,https://www.transfermarkt.ch/apostolos-skondras/profil/spieler/96813,44,Apostolos Skondras,Super League 2,Anag. Karditsas,2.Liga,34,"1,85 m",Griechenland,Innenverteidiger,rechts,ELITE SPORTS KSE LTD,,05.08.2022,30.06.2023,,,,,200 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,400 Tsd. €,21.06.2016,78,74,,5,,Gelbsperre - Super League 2bis 29.04.2023,,,,,,,,,,,,,,,
Griechenland,20230420225443,https://www.transfermarkt.ch/stelios-marangos/profil/spieler/164470,,Stelios Marangos,,FS Kozani,33,"1,82 m",Griechenland,Innenverteidiger,rechts,Sportseleven Berlin,,31.01.2023,30.06.2023,,,,,,,,400 Tsd. €,27.09.2015,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420225527,https://www.transfermarkt.ch/dimitrios-stamou/profil/spieler/160510,5,Dimitrios Stamou,Super League 2,OF Ierapetras,2.Liga,31,"1,85 m",Griechenland,Innenverteidiger,rechts,,,02.09.2022,30.06.2023,,Griechenland U21,5,0,125 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,350 Tsd. €,21.11.2011,94,94,,0,,,,,,,,,,,,,,,,,
Griechenland,20230420225546,https://www.transfermarkt.ch/anastasios-tasiopoulos/profil/spieler/887484,,Anastasios Tasiopoulos,,Vereinslos,Veria NPS,18,,Griechenland,Innenverteidiger,rechts,,Puma,17.01.2023,-,,,,,25 Tsd. €Letzte Änderung: 27.06.2022,Tsd. €,Letzte Änderung: 27.06.2022,25 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420225610,https://www.transfermarkt.ch/stavros-petavrakis/profil/spieler/179548,3,Stavros Petavrakis,Super League 2,Panserraikos,2.Liga,30,"1,76 m",Griechenland,Linker Verteidiger,links,ohne Berater,,15.07.2022,30.06.2024,,,,,300 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,450 Tsd. €,21.12.2014,83,83,,3,,,,,,,,,,,,,,,,,
Griechenland,20230420225634,https://www.transfermarkt.ch/anastasios-papachristos/profil/spieler/193950,93,Anastasios Papachristos,Super League 2,Veria NPS,2.Liga,30,"1,75 m",Griechenland,Linker Verteidiger,links,,,28.08.2020,30.06.2023,,,,,175 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,300 Tsd. €,20.04.2017,42,43,,5,,,,,,,,,,,,,,,,,
Griechenland,20230420225658,https://www.transfermarkt.ch/michalis-boukouvalas/profil/spieler/52390,2,Michalis Boukouvalas,Super League 2,Veria NPS,2.Liga,35,"1,69 m",Griechenland,Rechter Verteidiger,rechts,SG Agency,,26.08.2020,30.06.2023,,Griechenland,0,0,150 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,700 Tsd. €,26.12.2009,84,83,,15,,,,,,,,,,,,,,,,,
Griechenland,20230420225714,https://www.transfermarkt.ch/asterios-mouchalis/profil/spieler/287646,26,Asterios Mouchalis,Super League 2,Veria NPS,2.Liga,26,"1,75 m",Griechenland,Rechter Verteidiger,rechts,Familienangehörige,adidas,01.07.2018,30.06.2023,,Griechenl. U18,2,0,150 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,175 Tsd. €,27.06.2022,42,45,,5,,,,,,,,,,,,,,,,,
Griechenland,20230420225727,https://www.transfermarkt.ch/georgios-bletsas/profil/spieler/342913,7,Georgios Bletsas,Super League 2,Veria NPS,2.Liga,27,"1,84 m",Griechenland,Defensives Mittelfeld,links,,,01.07.2018,30.06.2023,,,,,150 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,200 Tsd. €,28.06.2021,68,62,,0,,Gelbsperre - Super League 2bis 23.04.2023,,,,,,,,,,,,,,,
