league_country;scraping_time;link;no;name;league;club;image;league_level;market_value;market_value_currency;market_value_latest_correction;highest_market_value;highest_market_value_date;age;height;nationality;position;foot;consultancy;supplier;club_since;contract_until;international;international_active;former_international;international_games;international_goals;starting_eleven_quote;minutes_quote;penalty_saves_quote;goal_participation_quote;instagram;injury;goals_conceded;clean_sheets;games;points_per_game;goals;assists;own_goals;ins;outs;yellow_cards;yellow_red_cards;red_cards;penalty_goals;minutes_per_goal;minutes
Portugal;20230515230319;https://www.transfermarkt.ch/odysseas-vlachodimos/profil/spieler/124419;99;Odysseas Vlachodimos;Liga Portugal;Benfica;https://img.a.transfermarkt.technology/portrait/header/124419-1603794112.jpg?lm=1;1.Liga;16,00 Mio. €Letzte Änderung: 01.11.2022;Mio. €;Letzte Änderung: 01.11.2022;18,00 Mio. €;28.01.2021;29;1,91 m;Griechenland;Torwart;rechts;fair-sport GmbH;Uhlsport;01.07.2018;30.06.2027;;Griechenland;;31;0;100;100;0;;http://www.instagram.com/vlachod1mos/;0;18;20;32;2,59;-;;-;-;-;2;-;-;;;2.880'
Portugal;20230515230341;https://www.transfermarkt.ch/samuel-soares/profil/spieler/504072;24;Samuel Soares;Liga Sabseg;Benfica B;https://img.a.transfermarkt.technology/portrait/header/504072-1604578543.jpg?lm=1;2.Liga;2,00 Mio. €Letzte Änderung: 28.12.2022;Mio. €;Letzte Änderung: 28.12.2022;2,00 Mio. €;01.11.2022;20;1,90 m;Portugal;Torwart;rechts;Team of Future;;01.07.2021;30.06.2027;;Portugal U21;;5;0;63;63;0;;;0;32;5;20;1,30;-;;-;-;-;4;-;-;;;1.800'
Portugal;20230515230400;https://www.transfermarkt.ch/andre-gomes/profil/spieler/670710;75;André Gomes;Liga Sabseg;Benfica B;https://img.a.transfermarkt.technology/portrait/header/670710-1679905817.jpg?lm=1;2.Liga;2,00 Mio. €Letzte Änderung: 02.03.2023;Mio. €;Letzte Änderung: 02.03.2023;2,00 Mio. €;02.03.2023;18;1,82 m;Portugal;Torwart;links;;;01.01.2023;30.06.2028;;Portugal U19;;12;0;67;67;0;;;0;22;1;12;1,00;-;;-;-;-;1;-;-;;;1.080'
Portugal;20230515230421;https://www.transfermarkt.ch/antonio-silva/profil/spieler/650568;66;António Silva;Liga Portugal;Benfica;https://img.a.transfermarkt.technology/portrait/header/650568-1661241633.jpg?lm=1;1.Liga;25,00 Mio. €Letzte Änderung: 02.03.2023;Mio. €;Letzte Änderung: 02.03.2023;25,00 Mio. €;02.03.2023;19;1,87 m;Portugal;Innenverteidiger;rechts;Gestifute;adidas;01.07.2022;30.06.2027;;Portugal;;3;0;91;90;;4;http://www.instagram.com/antoniosilva.66/;0;;;29;2,55;3;-;-;-;2;4;-;-;-;868';2.605'
Portugal;20230515230439;https://www.transfermarkt.ch/morato/profil/spieler/673492;91;Morato;Liga Portugal;Benfica;https://img.a.transfermarkt.technology/portrait/header/673492-1572338874.jpg?lm=1;1.Liga;15,00 Mio. €Letzte Änderung: 01.11.2022;Mio. €;Letzte Änderung: 01.11.2022;15,00 Mio. €;16.09.2022;21;1,92 m;Brasilien;Innenverteidiger;links;Bertolucci Sports;;01.07.2021;30.06.2027;;;Brasilien U20;0;0;19;19;;1;http://www.instagram.com/morato/;0;;;8;3,00;1;-;-;2;-;2;-;-;-;556';556'
Portugal;20230515230456;https://www.transfermarkt.ch/lucas-verissimo/profil/spieler/411662;4;Lucas Veríssimo;Liga Portugal;Benfica;https://img.a.transfermarkt.technology/portrait/header/411662-1616428259.jpg?lm=1;1.Liga;8,00 Mio. €Letzte Änderung: 01.11.2022;Mio. €;Letzte Änderung: 01.11.2022;10,00 Mio. €;27.12.2021;27;1,88 m;Brasilien;Innenverteidiger;rechts;Wonder Sports;Puma;31.01.2021;30.06.2026;;;Brasilien;2;0;0;0;;0;http://www.instagram.com/lucasverissimo_03/;0;;;2;3,00;-;-;-;2;-;-;-;-;-;-;9'
Portugal;20230515230509;https://www.transfermarkt.ch/nicolas-otamendi/profil/spieler/54781;30;Nicolás Otamendi;Liga Portugal;Benfica;https://img.a.transfermarkt.technology/portrait/header/54781-1669835534.jpg?lm=1;1.Liga;3,00 Mio. €Letzte Änderung: 01.11.2022;Mio. €;Letzte Änderung: 01.11.2022;35,00 Mio. €;02.01.2018;35;1,83 m;Argentinien;Innenverteidiger;rechts;Gestifute;Nike;29.09.2020;30.06.2023;;Argentinien;;102;4;91;90;;1;http://www.instagram.com/nicolasotamendi30/?hl=it;0;;;29;2,55;1;-;-;-;1;9;1;-;-;2.595';2.595'
Portugal;20230515230525;https://www.transfermarkt.ch/alejandro-grimaldo/profil/spieler/193082;3;Alejandro Grimaldo;Liga Portugal;Benfica;https://img.a.transfermarkt.technology/portrait/header/193082-1684143200.jpg?lm=1;1.Liga;25,00 Mio. €Letzte Änderung: 02.03.2023;Mio. €;Letzte Änderung: 02.03.2023;35,00 Mio. €;30.12.2019;27;1,71 m;Spanien;Linker Verteidiger;links;Wasserman;adidas;01.01.2016;30.06.2023;;;Spanien U21;2;0;97;96;;18;http://www.instagram.com/grimaldo35/;0;;;31;2,58;4;10;-;-;6;4;-;-;1;693';2.773'
Portugal;20230515230543;https://www.transfermarkt.ch/mihailo-risti%C4%87/profil/spieler/271455;23;Mihailo Ristić;Liga Portugal;Benfica;https://img.a.transfermarkt.technology/portrait/header/271455-1661241997.jpg?lm=1;1.Liga;3,50 Mio. €Letzte Änderung: 01.11.2022;Mio. €;Letzte Änderung: 01.11.2022;3,50 Mio. €;23.03.2022;27;1,80 m;Serbien;Linker Verteidiger;links;AC Talent;;01.07.2022;30.06.2026;Serbien;;;8;0;3;4;;3;http://www.instagram.com/risticmihailo24/;0;;;6;3,00;1;1;-;5;-;-;-;-;-;106';106'
Portugal;20230515230601;https://www.transfermarkt.ch/alexander-bah/profil/spieler/452607;6;Alexander Bah;Liga Portugal;Benfica;https://img.a.transfermarkt.technology/portrait/header/452607-1661241664.jpg?lm=1;1.Liga;8,00 Mio. €Letzte Änderung: 01.11.2022;Mio. €;Letzte Änderung: 01.11.2022;8,00 Mio. €;01.11.2022;25;1,83 m;Dänemark;Rechter Verteidiger;rechts;Elite Consulting;;01.07.2022;30.06.2027;;Dänemark;;8;1;63;61;;6;http://www.instagram.com/alexanderbah/;1;;;26;2,62;1;4;-;6;9;1;-;-;-;1.765';1.765'
